Objective,KL,JS
1,0.46002699954880477,0.37644801650488013
6,0.6451744262065797,0.4661546458374719
11,0.3404821900631404,0.39169191953230703
16,0.19716990659754782,0.35787797453855325
21,0.17277667074069836,0.33842609669632784
26,0.16954548830505295,0.33783885579109624
31,0.15507985603849436,0.3304905743482241
36,0.14847291211305066,0.327370243967373
41,0.14245244270524102,0.32862924257730314
46,0.1373223282342055,0.32828692866289283
51,0.13514887399232564,0.3212004563668963
56,0.1351650278565705,0.33961749707685823
61,0.13417492883937102,0.33086195420864967
66,0.1321819245180307,0.3282829647565646
71,0.1331248590478019,0.3226508598855512
76,0.13929022473916677,0.3449313647333278
81,0.1424605369324108,0.3279016335997389
86,0.13592275094350564,0.33170490001195935
91,0.13619281863390975,0.32662458197843924
96,0.1300291016566216,0.33555174292683904
101,0.12718733702194418,0.3293212894177705
106,0.12290120178789436,0.33378221934538166
111,0.12328265805994996,0.3028430439690203
116,0.12112311763198182,0.3176831428522618
121,0.11484691476666224,0.3256248867013063
126,0.12274955969494197,0.3327545245409666
131,0.11209941666027291,0.3403944667755078
136,0.11761499405274017,0.3218662079586002
141,0.11261964814474157,0.32152742271390866
146,0.11214233104223491,0.3319251026020136
151,0.11424361968960473,0.33032449846627865
156,0.12115105666783993,0.33172408411072857
161,0.11319010716922355,0.31073467761802864
166,0.1151387118396382,0.3296775419178224
171,0.10320233727619904,0.34631968058846097
176,0.11263005219752258,0.3387219836426793
181,0.11146736889872651,0.3230898723810127
186,0.10843662569612617,0.30734943304202705
191,0.10392616318155509,0.33080521280146
196,0.09913167076457724,0.3061809789961282
201,0.11325109731708832,0.31378889925938075
